year   day  hour  min   field
2018   1 15 44    0.46
2018   1 15 45    0.46
2018   1 15 46    0.50
2018   1 15 47    0.31
2018   1 15 48    0.21
2018   1 15 49    0.13
2018   1 15 50    0.03
2018   1 15 51   -0.07
2018   1 15 52    0.08
2018   1 15 53    0.38
2018   1 15 54    0.36
2018   1 15 55    0.47
2018   1 15 56    0.37
2018   1 15 57    0.13
2018   1 15 58    0.31
2018   1 15 59    0.45
2018   1 16  0   -0.13
2018   1 16  1    0.00
2018   1 16  2   -0.04
2018   1 16  3   -0.07
2018   1 16  4   -0.23
2018   1 16  5   -0.10
2018   1 16  6   -0.04
2018   1 16  7    0.09
2018   1 16  8   -0.08
2018   1 16  9   -0.08
2018   1 16 10   -0.07
2018   1 16 11    0.02
2018   1 16 12    0.07
2018   1 16 13    0.06
2018   1 16 14    0.09
2018   1 16 15    0.11
2018   1 16 16    0.13
2018   1 16 17    0.18
2018   1 16 18    0.21
2018   1 16 19    0.26
2018   1 16 20    0.24
2018   1 16 21    0.23
2018   1 16 22    0.24
2018   1 16 23    0.29
2018   1 16 24    0.31
2018   1 16 25    0.34
2018   1 16 26    0.24
2018   1 16 27    0.27
2018   1 16 28    0.35
2018   1 16 29    0.36
2018   1 16 30    0.48
2018   1 16 31    0.39
2018   1 16 32    0.36
2018   1 16 33    0.45
2018   1 16 34    0.46
2018   1 16 35    0.41
2018   1 16 36    0.39
2018   1 16 37    0.33
2018   1 16 38    0.40
2018   1 16 39    0.38
2018   1 16 40    0.37
2018   1 16 41    0.37
2018   1 16 42    0.31
2018   1 16 43    0.38
2018   1 16 44    0.29
2018   1 16 45    0.39
2018   1 16 46    0.25
2018   1 16 47    0.28
2018   1 16 48    0.27
2018   1 16 49    0.29
2018   1 16 50    0.36
2018   1 16 51    0.40
2018   1 16 52    0.09
2018   1 16 53    0.16
2018   1 16 54    0.18
2018   1 16 55    0.30
2018   1 16 56    0.30
2018   1 16 57    0.38
2018   1 16 58    0.42
2018   1 16 59    0.31
2018   1 17  0    0.18
2018   1 17  1    0.09
2018   1 17  2    0.21
2018   1 17  3    0.14
2018   1 17  4    0.07
2018   1 17  5   -0.04
2018   1 17  6   -0.09
2018   1 17  7    0.09
